+----------------------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|              Metric              |           P1          |           P2           |           P3          |          P4          |           P5          |           P6          |           P7          |           P8          |
+----------------------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1           |           1            |           1           |          1           |           1           |           1           |           1           |           1           |
|         Information Gain         |  0.040352934476328685 | 0.0002215057216560627  |  0.048609125906758276 | 0.02548447386702349  |  0.019031467566072775 |  0.01732906671510522  |  0.015787578775202267 |  0.04816782308727975  |
|           Chi-squared            |   2.825071839080459   |  0.019628937583753267  |   3.1258989533150796  |  1.2378465785028636  |   0.9929366419434402  |   1.1028873668388832  |   0.8138241456915954  |   1.4773628983480658  |
|            Gini index            |  0.010739644970414242 |  7.46203398723777e-05  |  0.010767775729944681 | 0.00470573264617935  | 0.0032983393777440417 |  0.003755941410418101 | 0.0027715212826877333 |  0.005089068008510708 |
|      Difference in Support       |  0.07902298850574713  |  0.007662835249042127  |  0.07875264270613108  | 0.04118773946360153  |  0.03946286653877776  |  0.04704624431970061  |  0.035284683239775454 |  0.03382663847780127  |
|          Bigger Support          |   0.1206896551724138  |   0.1111111111111111   |  0.11363636363636363  | 0.06896551724137931  |  0.07317073170731708  |  0.09302325581395349  |  0.06976744186046512  |  0.045454545454545456 |
|            Confidence            |          0.7          |   0.5714285714285714   |         0.375         |  0.6666666666666666  |          0.5          |          0.5          |          0.5          |   0.3333333333333333  |
|          All-Confidence          |   0.1206896551724138  |   0.1111111111111111   |  0.03488372093023256  | 0.06896551724137931  |  0.033707865168539325 |  0.04597701149425288  |  0.03448275862068966  |  0.011627906976744188 |
|               Lift               |   1.5689655172413792  |   1.0317460317460316   |   0.5668604651162791  |  1.4942528735632183  |   0.7303370786516854  |   0.7471264367816093  |   0.7471264367816093  |   0.5038759689922481  |
|        Standardised Lift         |   0.6666666666666667  |   0.5384615384615384   |  0.28571428571428575  |         0.6          |  0.39999999999999997  |   0.4285714285714286  |   0.4000000000000001  |          0.0          |
|       Collective Strength        |   1.1526572668112796  |   1.113736048211675    |   0.9564826645299606  |  1.0845539651407032  |   0.9912837768003769  |   0.9967113793997714  |   0.997883994401402   |   0.9782717033788499  |
|              Cosine              |   0.2906591794880899  |  0.25197631533948484   |  0.11437392774945351  | 0.21442250696755896  |  0.12982269672237465  |   0.1516196087157807  |  0.13130643285972257  |  0.062257280636469035 |
|         Interestingness          |  0.08444776576208937  |  0.06346200807739269   |  0.013079073207651025 | 0.04596612936135482  |  0.016850940761917427 |  0.022983064680677415 |  0.017238318710467253 | 0.0038757396449704148 |
|        Comprehensibility         |   0.3868528072345416  |          0.5           |  0.43067655807339306  | 0.43067655807339306  |  0.43067655807339306  |          0.5          |          0.5          |   0.3868528072345416  |
|           Completeness           |   0.1206896551724138  |   0.1111111111111111   |  0.03488372093023256  | 0.06896551724137931  |  0.033707865168539325 |  0.04597701149425288  |  0.03448275862068966  |  0.011627906976744188 |
